TIRF Data File: Project 1320; Run 115
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
28.900	40.21	451.78	-0.005	0.025	25.089	23.616	96.16	3121.19	-149.48	-1465.74	10.59	54.08	-2.13	0.10	39.40	64.86	77.67	76.27	80.02	0.062	0.093
28.920	40.22	451.35	-0.009	0.021	25.088	23.641	96.23	3144.61	-139.45	-1518.55	3.99	41.46	-2.07	0.09	39.44	64.87	77.54	76.18	79.98	0.061	0.092
28.940	40.24	450.80	-0.002	0.022	25.085	23.683	96.23	3181.83	-122.27	-1581.27	10.63	32.07	-2.01	0.08	39.40	64.77	77.48	76.14	80.02	0.059	0.090
28.960	40.23	449.87	-0.008	0.022	25.089	23.727	96.23	3175.06	-106.19	-1593.16	18.49	28.61	-1.99	0.07	39.54	64.74	77.40	76.10	79.99	0.057	0.088
28.980	40.25	448.97	-0.011	0.021	25.090	23.783	96.23	3147.65	-114.14	-1552.69	24.70	36.50	-2.03	0.07	39.64	64.70	77.24	76.01	80.01	0.055	0.085
29.000	40.26	448.07	-0.008	0.022	25.093	23.839	96.16	3114.81	-135.93	-1495.29	28.30	50.54	-2.08	0.09	39.38	64.58	77.13	75.91	80.00	0.053	0.083
29.020	40.28	447.40	-0.005	0.021	25.092	23.885	96.23	3066.77	-150.42	-1459.47	19.65	56.33	-2.10	0.10	39.68	64.48	76.97	75.76	79.99	0.050	0.080
29.040	40.32	446.93	-0.002	0.025	25.091	23.933	96.29	3051.26	-149.36	-1476.17	8.81	50.39	-2.07	0.10	39.74	64.41	76.86	75.62	80.01	0.048	0.078
29.060	40.34	446.54	-0.008	0.021	25.090	23.970	96.23	3076.95	-132.95	-1540.64	9.84	36.11	-2.00	0.09	39.78	64.32	76.74	75.53	79.98	0.047	0.077
29.080	40.34	446.04	-0.008	0.015	25.093	23.995	96.23	3099.68	-112.95	-1585.27	13.99	24.94	-1.96	0.07	39.87	64.27	76.68	75.52	80.02	0.046	0.076
29.100	40.34	445.21	-0.005	0.018	25.090	24.039	96.23	3106.26	-103.12	-1585.11	21.07	28.63	-1.96	0.07	39.87	64.23	76.61	75.44	79.98	0.044	0.074
29.120	40.33	444.32	-0.005	0.021	25.096	24.085	96.29	3073.56	-118.01	-1539.39	25.86	39.06	-2.00	0.08	39.62	64.10	76.52	75.36	80.01	0.042	0.072
29.140	40.30	443.50	-0.009	0.021	25.092	24.110	96.16	3002.51	-141.17	-1486.36	25.77	50.53	-2.02	0.09	39.85	63.98	76.36	75.23	79.99	0.041	0.070
29.160	40.29	442.99	-0.008	0.021	25.094	24.129	96.16	2947.50	-149.49	-1459.93	15.98	56.66	-2.02	0.10	39.80	63.85	76.22	75.08	79.99	0.040	0.070
29.180	40.31	442.75	-0.002	0.028	25.090	24.153	96.29	2950.54	-139.50	-1483.38	6.82	45.77	-1.99	0.09	39.72	63.75	76.08	74.97	80.00	0.039	0.069
29.200	40.30	442.52	-0.006	0.027	25.090	24.163	96.23	2991.72	-127.29	-1556.59	9.00	31.75	-1.92	0.08	39.70	63.65	76.01	74.88	79.99	0.038	0.068
29.220	40.28	442.01	-0.006	0.024	25.091	24.177	96.29	3017.62	-114.88	-1596.76	13.65	27.60	-1.89	0.07	39.66	63.60	75.92	74.84	80.02	0.038	0.067
29.240	40.25	441.07	-0.006	0.022	25.091	24.214	96.23	3004.93	-102.14	-1579.87	21.86	28.86	-1.90	0.06	39.58	63.51	75.76	74.78	79.98	0.036	0.066
29.260	40.22	440.02	-0.002	0.025	25.095	24.253	96.29	2949.83	-117.59	-1527.10	28.95	40.35	-1.93	0.08	39.52	63.37	75.65	74.65	80.01	0.035	0.064
29.280	40.18	439.12	-0.003	0.025	25.095	24.280	96.23	2877.41	-137.34	-1473.57	26.84	52.94	-1.95	0.09	39.42	63.22	75.48	74.49	79.99	0.034	0.063
29.300	40.14	438.65	-0.003	0.021	25.098	24.278	96.09	2838.07	-150.62	-1455.72	14.12	49.86	-1.95	0.10	39.38	63.11	75.31	74.33	80.00	0.034	0.063
29.320	40.09	438.26	-0.005	0.018	25.096	24.271	96.23	2872.46	-146.12	-1497.44	7.74	41.87	-1.92	0.10	39.34	62.97	75.18	74.18	80.00	0.034	0.063
29.340	40.05	437.83	-0.008	0.022	25.093	24.267	96.29	2912.16	-120.07	-1559.95	11.73	29.93	-1.87	0.08	39.19	62.92	75.05	74.13	79.99	0.034	0.064
29.360	40.02	437.01	-0.006	0.027	25.092	24.295	96.23	2922.47	-100.70	-1587.02	17.36	23.28	-1.84	0.06	39.21	62.80	74.96	74.10	80.02	0.033	0.062
29.380	40.01	435.95	-0.011	0.022	25.093	24.351	96.29	2897.33	-97.63	-1571.51	23.23	31.95	-1.84	0.06	38.91	62.65	74.82	74.02	79.98	0.030	0.060
29.400	40.03	434.90	0.001	0.022	25.093	24.419	96.29	2815.98	-115.85	-1515.36	26.23	39.60	-1.86	0.08	39.11	62.54	74.67	73.85	80.02	0.028	0.057
29.420	40.01	434.23	-0.003	0.022	25.097	24.448	96.16	2739.06	-134.94	-1462.63	23.18	48.96	-1.87	0.09	39.27	62.35	74.53	73.72	79.97	0.027	0.056
29.440	39.99	433.76	-0.009	0.021	25.094	24.460	96.23	2731.18	-135.15	-1445.27	11.42	53.53	-1.89	0.09	39.05	62.17	74.36	73.60	80.01	0.026	0.055
29.460	39.99	433.69	-0.005	0.021	25.090	24.464	96.43	2748.06	-120.17	-1498.46	10.62	37.05	-1.83	0.08	39.03	62.07	74.20	73.49	79.99	0.026	0.055
29.480	40.01	433.33	-0.003	0.028	25.088	24.498	96.09	2770.20	-112.14	-1569.05	11.54	25.08	-1.77	0.07	38.97	61.97	74.12	73.42	80.00	0.024	0.053
29.500	40.06	432.63	-0.002	0.024	25.087	24.570	96.16	2766.89	-94.80	-1597.08	14.52	25.09	-1.73	0.06	38.85	61.85	73.98	73.37	80.00	0.021	0.050
29.520	40.11	431.65	-0.011	0.012	25.090	24.654	96.29	2683.70	-81.72	-1576.22	25.81	23.42	-1.70	0.05	38.85	61.72	73.90	73.33	79.98	0.018	0.047
29.540	40.13	430.87	0.000	0.021	25.092	24.710	96.23	2586.86	-101.27	-1514.66	30.73	34.95	-1.71	0.07	38.62	61.53	73.71	73.20	80.02	0.015	0.044
29.560	40.11	430.56	0.000	0.024	25.091	24.716	96.29	2508.91	-116.29	-1463.36	25.22	46.06	-1.71	0.08	38.79	61.34	73.56	73.01	79.98	0.015	0.044
29.580	40.09	430.52	-0.006	0.025	25.087	24.704	96.16	2484.66	-115.16	-1452.35	12.72	43.11	-1.71	0.08	38.83	61.16	73.38	72.87	80.02	0.015	0.045
29.600	40.09	430.68	-0.003	0.025	25.085	24.698	96.16	2525.32	-98.88	-1508.14	10.31	35.72	-1.67	0.07	38.72	60.99	73.24	72.73	79.98	0.016	0.045
