TIRF Data File: Project 1320; Run 116
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
31.960	40.66	347.90	0.019	0.025	24.059	31.008	55.37	-3544.12	59.04	-1531.65	58.39	-40.03	2.31	-0.04	37.56	61.97	70.28	69.15	79.92	-0.224	-0.179
31.980	40.69	347.94	0.019	0.021	24.060	31.026	55.44	-3522.94	69.70	-1500.65	40.84	-36.23	2.35	-0.05	37.56	61.98	70.36	69.27	79.90	-0.225	-0.179
32.000	40.72	348.06	0.016	0.027	24.056	31.037	55.37	-3541.26	62.66	-1507.45	37.17	-48.32	2.35	-0.04	37.54	62.04	70.44	69.33	79.91	-0.225	-0.180
32.020	40.75	347.98	0.021	0.028	24.050	31.069	55.44	-3572.62	45.60	-1544.72	46.30	-54.71	2.31	-0.03	37.56	62.07	70.53	69.42	79.93	-0.226	-0.180
32.040	40.76	347.86	0.011	0.022	24.053	31.087	55.37	-3592.28	35.27	-1568.78	46.42	-56.89	2.29	-0.02	37.65	62.16	70.61	69.55	79.90	-0.226	-0.181
32.060	40.78	347.78	0.014	0.022	24.049	31.108	55.37	-3600.06	42.03	-1569.39	40.24	-65.97	2.29	-0.03	37.61	62.18	70.74	69.68	79.93	-0.227	-0.181
32.080	40.78	347.82	0.017	0.027	24.050	31.104	55.37	-3571.65	48.94	-1574.25	45.12	-70.21	2.27	-0.03	37.58	62.27	70.80	69.81	79.89	-0.227	-0.181
32.100	40.79	347.74	0.010	0.008	24.055	31.118	55.44	-3561.01	50.78	-1573.07	59.00	-66.92	2.26	-0.03	37.61	62.33	70.91	69.88	79.92	-0.227	-0.182
32.120	40.78	347.51	0.016	0.021	24.050	31.136	55.31	-3566.20	50.93	-1552.20	64.95	-54.76	2.30	-0.03	37.44	62.39	70.94	69.98	79.90	-0.228	-0.182
32.140	40.77	347.08	0.017	0.024	24.049	31.164	55.37	-3550.58	56.89	-1512.98	52.50	-36.54	2.35	-0.04	37.61	62.45	70.99	70.04	79.92	-0.228	-0.183
32.160	40.74	346.69	0.017	0.030	24.044	31.177	55.44	-3561.91	66.96	-1490.00	39.23	-35.93	2.39	-0.04	37.58	62.51	71.05	70.11	79.92	-0.229	-0.183
32.180	40.72	346.10	0.014	0.015	24.041	31.216	55.57	-3598.10	58.86	-1509.14	41.48	-51.56	2.38	-0.04	37.58	62.56	71.08	70.15	79.91	-0.230	-0.184
32.200	40.69	345.48	-0.008	0.024	24.035	31.251	55.44	-3607.62	33.27	-1547.10	45.93	-56.60	2.33	-0.02	37.63	62.64	71.16	70.27	79.94	-0.231	-0.185
32.220	40.67	344.81	0.023	0.022	24.030	31.297	55.31	-3591.53	35.90	-1574.86	44.57	-58.27	2.28	-0.02	37.61	62.71	71.23	70.37	79.89	-0.232	-0.186
32.240	40.66	344.11	0.017	0.028	24.031	31.346	55.37	-3549.48	49.40	-1588.96	39.67	-66.24	2.23	-0.03	37.63	62.81	71.38	70.50	79.93	-0.233	-0.188
